Date,Open,High,Low,Close,Volume,RSI,SSO,SMA,S-Open,S-High,S-Low,S-Close
06/21/2016,220.68,222.569,218.81,219.61,4529005,48.2035239197,20.2366236977,18.1333019405,1.3124,1.3124,0.2842,0.2842
06/22/2016,199.47,205.95,195.75,196.66,23742414,31.3726266876,14.9029245515,17.7994738793,3.3491,3.5325,2.909,2.9887
06/23/2016,195.69,197.55,192.13,196.4,10130748,31.2395479837,10.0388945752,15.0594809415,-1.7516,-1.7152,-2.3124,-1.7906
06/24/2016,190.05,195.12,189.73,193.15,7026516,29.5520620289,5.9341038468,10.2919743245,-0.6323,0.4373,-0.6323,0.2969
06/27/2016,190.86,198.81,187.87,198.55,7220323,35.7611558971,12.0218579235,9.3316187818,-0.2436,1.6035,-0.2759,1.6035
06/28/2016,201.89,204.05,199.41,201.79,6212422,39.2224542253,18.4889475421,12.1483031041,0.6058,0.9903,-0.754,-0.5969
06/29/2016,205.13,211.78,203,210.19,5994908,47.1701248195,33.3867008219,21.2991687625,-0.1112,0.6694,-0.2717,0.6178
06/30/2016,212.97,213.4999,209.02,212.28,4843111,48.9585524289,48.3421010681,33.4059164774,-0.0446,-0.0446,-0.4827,-0.2698
07/01/2016,206.14,218.24,206,216.5,5399951,52.4581545067,66.1749209694,49.3012409531,-3.4814,-3.3232,-3.5572,-3.3467
07/05/2016,209.73,214.5441,208,213.98,5175345,50.2428046049,72.1776399781,62.2315540052,-1.0018,-0.9979,-1.36,-1.3033
07/06/2016,210,215.23,209,214.44,4919855,50.6524769569,75.5388331475,71.297131365,-1.4986,-1.4073,-2.0938,-2.0925
07/07/2016,213.1,218.12,213.01,215.94,3612022,52.0391862191,75.0185804534,74.2450178597,-1.3752,-0.5359,-1.4699,-0.5754
07/08/2016,217.8,219.81,214.5,216.78,4074785,52.8384331792,77.6198439242,76.0590858417,0.4462,0.6423,0.3631,0.3775
07/11/2016,219.96,226.78,219.51,224.78,5429823,59.7225983249,84.8378060902,79.1587434893,0.8377,1.6949,0.7318,1.5863
07/12/2016,224.1,227.5,223.22,224.65,4576165,59.5704273512,89.6696381751,84.0424293965,0.4351,0.6252,-0.3014,-0.213
07/13/2016,225.5,225.59,220.29,222.53,3567062,57.0189622847,91.6899382246,88.73246083,0.5568,0.8098,0.3724,0.5977
07/14/2016,223.12,224.94,221.05,221.53,2675834,55.8047930201,88.4010429809,89.9202064602,0.2354,0.3606,0.0167,0.1324
07/15/2016,222.52,222.7499,219.64,220.4,2234247,54.3952319847,84.8263100345,88.3057637467,-0.0826,0.36,-0.236,0.3173
07/18/2016,219.64,227.09,218.3,226.25,3412055,60.0246871149,86.6604564509,86.6292698221,0.6627,1.4179,0.6555,1.4179
07/19/2016,225,229.1,224.75,225.26,3115065,58.7040360555,87.0070347474,86.1646004109,1.1629,1.6724,1.1497,1.4006
07/20/2016,226.47,229.8,225,228.36,2568498,61.556329526,91.6271316835,88.4315409606,0.9466,0.9466,0.3659,0.7583
07/21/2016,226,227.847,219.1,220.5,4428651,51.7891169243,80.2170963365,86.2837542558,2.1589,2.4285,2.1052,2.2603
07/22/2016,221.99,224.5,218.88,222.27,2579692,53.5755236401,73.674351585,81.839526535,0.7575,1.0053,0.7345,0.8185
07/25/2016,222.27,231.39,221.3715,230.01,4490683,60.4728819099,73.2166495073,75.7026991429,0.144,1.195,0.1436,1.1344
07/26/2016,227.69,230,225.3,229.51,3430042,59.8542328361,82.7553140483,76.5487717135,1.1447,1.1675,-0.3275,0.1304
07/27/2016,229.34,233.36,226.92,228.49,2889007,58.5385816918,86.365923193,80.7792955829,0.058,1.1025,-0.0225,0.9337
07/28/2016,227.95,230.76,226.6,230.61,2419059,60.4828315239,81.8355640535,83.6522670983,0.4969,0.4969,-0.138,0.1148
07/29/2016,230.7,235.28,230.24,234.79,3070813,64.0612864198,84.0667976424,84.0894282963,-0.2063,1.0715,-0.2071,0.7013
08/01/2016,235.5,236.63,229.38,230.01,4016284,57.6340381382,80.4248560651,82.109072587,1.3523,1.6608,1.0668,1.5371
08/02/2016,229.37,229.87,221.4,227.2,3934432,54.1919103542,69.1648023863,77.8854853646,0.0862,0.1101,-0.4629,-0.4102
08/03/2016,227.37,229.699,224.21,225.79,3887759,52.4976306122,51.1002000364,66.8966194959,-0.1421,0.4805,-0.2532,-0.0828
08/04/2016,225.69,230.86,222.05,230.61,4146997,57.4006766084,52.1913075105,57.4854366444,-3.0001,-2.3175,-3.1059,-2.3175
08/05/2016,230,232,227.4,230.03,3205215,56.6430366671,56.8829259327,53.3914778265,-0.1454,-0.0298,-0.2643,-0.1516
08/08/2016,228,229.6,226.09,226.16,2263584,51.7361336465,57.1057031395,55.3933121942,-0.8603,-0.1113,-0.8643,-0.2488
08/09/2016,226.82,231.5375,226.65,229.08,2207833,54.9100622428,53.765258216,55.9179624294,-0.405,-0.2406,-0.6191,-0.3841
08/10/2016,228.24,229.87,224.62,225.65,2338301,50.6929195278,45.5399061033,52.1369558196,-1.2376,-0.66,-1.2543,-0.8245
08/11/2016,226.17,227.57,223.41,224.91,1880936,49.8042203236,40.4040702542,46.5697448578,-0.0542,0.0826,-0.192,-0.1124
08/12/2016,225.41,226.65,224.04,225.61,1813540,50.6849407125,30.097328897,38.6804350848,-0.5376,0.1845,-0.5376,0.1754
08/15/2016,226.02,229.5,224.93,225.59,2034328,50.6575923058,26.1130614521,32.2048202011,-0.7097,-0.5835,-1.4959,-1.4932
08/16/2016,225.49,227.19,223.4101,223.61,2267147,47.901930115,23.2217115343,26.4773672945,-0.8695,-0.6102,-0.9947,-0.7006
08/17/2016,224.33,224.83,222.8,223.24,1787127,47.3832170419,18.0345808711,22.4564512858,-0.2412,0.3574,-0.3494,0.3556
08/18/2016,223.82,225.66,222.29,223.51,1714467,47.8271987317,13.4821623988,18.2461516014,0.4028,0.4028,-0.1149,0.1322
08/19/2016,223.54,225.169,222.53,225,1659530,50.3185896235,18.3877252801,16.63482285,-0.3711,0.6243,-0.3944,0.6229
08/22/2016,224.17,225.11,222.68,222.93,2065493,46.9633355509,18.4181106764,16.7626661184,-0.1417,-0.1407,-0.9573,-0.3397
08/23/2016,224.32,228.49,222.8,224.84,4784418,50.2591151725,23.8360655738,20.2139671768,-0.1491,2.2392,-0.1491,2.2392
08/24/2016,227.05,227.15,222.22,222.62,2570693,46.6319306606,13.7129380054,18.6557047519,2.0948,2.5772,1.6902,1.954
08/25/2016,223.11,223.8,220.77,220.96,1762519,44.0707230552,11.0828756455,16.2106264082,0.4497,2.124,0.3238,1.7457
08/26/2016,222.14,222.855,218.82,219.99,2238992,42.5984003594,5.2908462348,10.0288866286,1.8984,1.9376,0.7116,1.1061
08/29/2016,220.15,220.4,215,215.2,3266334,36.1719241409,4.0672663277,6.813662736,-0.1786,-0.0836,-1.2343,-1.1139
08/30/2016,216.11,216.11,210.52,211.34,3168862,31.984425809,4.7028507006,4.6869877544,0.2831,0.7074,-1.3377,-1.0102
08/31/2016,210.43,212.6,208.65,212.01,3276548,33.4250998824,8.0073126143,5.5924765475,-0.1761,1.3543,-0.4566,1.3534
09/01/2016,209.01,211.0999,200.5,200.77,7943138,24.1741739069,6.4652041261,6.391789147,1.2269,1.5826,-2.6033,-2.574
09/02/2016,202.33,203.2,196.2,197.78,5977413,22.3982811183,6.3428293158,6.9384486854,-1.9943,-1.7021,-2.3834,-1.8908
