Date,Open,High,Low,Close,Volume,RSI,SSO,SMA,S-Open,S-High,S-Low,S-Close
09/28/2015,257.35,259.79,246.61,248.43,4901057,45.7153615406,47.2814316653,60.6855472323,-1.239,-0.407,-1.239,-0.532
09/29/2015,250.46,254.73,245.46,246.65,3703154,44.3291327917,22.7586206897,44.7909163837,0.86,1.05,0.028,0.495
09/30/2015,252,252.4,242.34,248.4,4929582,46.0608600376,14.0875648293,28.0425390614,2.162,3.198,2.079,2.992
10/01/2015,247.51,248.5,237.13,239.88,4572964,39.6020130588,11.8550436416,16.2337430535,1.109,1.124,-0.354,0.227
10/02/2015,235.6,247.7,234.93,247.57,4423982,46.8467732627,21.3837104975,15.7754396561,0.032,1.132,-0.139,0.359
10/05/2015,248.84,249.84,244.13,246.15,3689865,45.7553575724,24.7029335314,19.3138958902,-0.907,0.416,-0.936,-0.374
10/06/2015,240,243.03,235.58,241.46,5235897,42.2539176916,27.6473799127,24.5780079805,-1.013,-0.704,-1.297,-0.705
10/07/2015,236.63,237.7,229.12,231.96,6813959,36.2094018879,17.7914110429,23.380574829,-1.5,-1.32,-1.959,-1.788
10/08/2015,230.08,230.72,221.31,226.72,6133216,33.3735153241,11.4263625821,18.9550511792,-1.317,-1.054,-1.893,-1.479
10/09/2015,220.93,224.37,218.36,220.69,6158370,30.4208789208,7.48973524,12.2358362883,-2.798,-2.673,-3.039,-2.887
10/12/2015,222.99,223,215.27,215.58,3836303,28.1481572389,5.3506148222,8.0889042148,-0.65,-0.072,-0.737,-0.162
10/13/2015,213.28,222.522,211.13,219.25,5171535,32.0732094691,6.8987625825,6.5797042149,0.29,2.343,0.275,2.197
10/14/2015,220.67,220.95,215.43,216.88,3104446,30.8993298694,8.6887254902,6.9793676316,1,1.055,0.225,0.44
10/15/2015,216.43,221.73,213.7,221.31,2844233,35.640991337,15.0106104107,10.1993661611,1.071,1.099,0.603,0.733
10/16/2015,223.04,230.4805,222.87,227.01,4334493,41.2291187612,21.4874358282,15.062257243,-0.211,1.297,-0.277,1.121
10/19/2015,226.5,231.15,224.94,228.1,2507895,42.2615436114,32.2249681719,22.9076714703,0.817,1.63,0.811,1.252
10/20/2015,227.72,228.6,202,213.03,14900047,33.4994904231,33.064576897,28.925660299,-0.057,-0.057,-2.866,-1.905
10/21/2015,211.99,214.81,208.8,210.09,4183471,32.1011902037,26.3526834611,30.54740951,-1.913,0.088,-2.131,-0.442
10/22/2015,211.56,215.75,209.4,211.72,2825159,33.7522333556,20.0947603122,26.5040068901,0.226,0.237,-0.293,-0.293
10/23/2015,215,215.35,207.69,209.09,4235462,32.3839413355,18.2137371077,21.5537269603,0.388,0.526,-0.094,0.155
10/26/2015,211.38,215.88,210,215.26,3391438,38.6658645817,24.1390382917,20.8158452372,0.202,0.6657,0.1271,0.6569
